#Problem,Name,Difficulty,Leetcode Links,Progress
717,1-bit and 2-bit Characters,Easy,https://leetcode.com/problems/1-bit-and-2-bit-characters,
559,Maximum Depth of N-ary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,
257,Binary Tree Paths,Easy,https://leetcode.com/problems/binary-tree-paths,
367,Valid Perfect Square,Easy,https://leetcode.com/problems/valid-perfect-square,
1108,Defanging an IP Address,Easy,https://leetcode.com/problems/defanging-an-ip-address,
682,Baseball Game,Easy,https://leetcode.com/problems/baseball-game,
581,Shortest Unsorted Continuous Subarray,Easy,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,
203,Remove Linked List Elements,Easy,https://leetcode.com/problems/remove-linked-list-elements,
989,Add to Array-Form of Integer,Easy,https://leetcode.com/problems/add-to-array-form-of-integer,
657,Robot Return to Origin,Easy,https://leetcode.com/problems/robot-return-to-origin,
997,Find the Town Judge,Easy,https://leetcode.com/problems/find-the-town-judge,
485,Max Consecutive Ones,Easy,https://leetcode.com/problems/max-consecutive-ones,
811,Subdomain Visit Count,Easy,https://leetcode.com/problems/subdomain-visit-count,
905,Sort Array By Parity,Easy,https://leetcode.com/problems/sort-array-by-parity,
1099,Two Sum Less Than K,Easy,https://leetcode.com/problems/two-sum-less-than-k,
680,Valid Palindrome II,Easy,https://leetcode.com/problems/valid-palindrome-ii,
819,Most Common Word,Easy,https://leetcode.com/problems/most-common-word,
643,Maximum Average Subarray I,Easy,https://leetcode.com/problems/maximum-average-subarray-i,
1179,Reformat Department Table,Easy,https://leetcode.com/problems/reformat-department-table,
917,Reverse Only Letters,Easy,https://leetcode.com/problems/reverse-only-letters,
709,To Lower Case,Easy,https://leetcode.com/problems/to-lower-case,
1342,Number of Steps to Reduce a Number to Zero,Easy,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero,
783,Minimum Distance Between BST Nodes,Easy,https://leetcode.com/problems/minimum-distance-between-bst-nodes,
1051,Height Checker,Easy,https://leetcode.com/problems/height-checker,
541,Reverse String II,Easy,https://leetcode.com/problems/reverse-string-ii,
1089,Duplicate Zeros,Easy,https://leetcode.com/problems/duplicate-zeros,
1365,How Many Numbers Are Smaller Than the Current Number,Easy,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number,
1313,Decompress Run-Length Encoded List,Easy,https://leetcode.com/problems/decompress-run-length-encoded-list,
1281,Subtract the Product and Sum of Digits of an Integer,Easy,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,
1480,Running Sum of 1d Array,Easy,https://leetcode.com/problems/running-sum-of-1d-array,
700,Search in a Binary Search Tree,Easy,https://leetcode.com/problems/search-in-a-binary-search-tree,
506,Relative Ranks,Easy,https://leetcode.com/problems/relative-ranks,
520,Detect Capital,Easy,https://leetcode.com/problems/detect-capital,
521,Longest Uncommon Subsequence I,Easy,https://leetcode.com/problems/longest-uncommon-subsequence-i,
944,Delete Columns to Make Sorted,Easy,https://leetcode.com/problems/delete-columns-to-make-sorted,
1037,Valid Boomerang,Easy,https://leetcode.com/problems/valid-boomerang,
1078,Occurrences After Bigram,Easy,https://leetcode.com/problems/occurrences-after-bigram,
1287,Element Appearing More Than 25% In Sorted Array,Easy,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array,
1331,Rank Transform of an Array,Easy,https://leetcode.com/problems/rank-transform-of-an-array,
1184,Distance Between Bus Stops,Easy,https://leetcode.com/problems/distance-between-bus-stops,
1207,Unique Number of Occurrences,Easy,https://leetcode.com/problems/unique-number-of-occurrences,
1346,Check If N and Its Double Exist,Easy,https://leetcode.com/problems/check-if-n-and-its-double-exist,
1422,Maximum Score After Splitting a String,Easy,https://leetcode.com/problems/maximum-score-after-splitting-a-string,
1441,Build an Array With Stack Operations,Easy,https://leetcode.com/problems/build-an-array-with-stack-operations,
1544,Make The String Great,Easy,https://leetcode.com/problems/make-the-string-great,
683,K Empty Slots,Hard,https://leetcode.com/problems/k-empty-slots,
308,Range Sum Query 2D - Mutable,Hard,https://leetcode.com/problems/range-sum-query-2d-mutable,
843,Guess the Word,Hard,https://leetcode.com/problems/guess-the-word,
489,Robot Room Cleaner,Hard,https://leetcode.com/problems/robot-room-cleaner,
975,Odd Even Jump,Hard,https://leetcode.com/problems/odd-even-jump,
753,Cracking the Safe,Hard,https://leetcode.com/problems/cracking-the-safe,
642,Design Search Autocomplete System,Hard,https://leetcode.com/problems/design-search-autocomplete-system,
340,Longest Substring with At Most K Distinct Characters,Hard,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,
568,Maximum Vacation Days,Hard,https://leetcode.com/problems/maximum-vacation-days,
410,Split Array Largest Sum,Hard,https://leetcode.com/problems/split-array-largest-sum,
857,Minimum Cost to Hire K Workers,Hard,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,
42,Trapping Rain Water,Hard,https://leetcode.com/problems/trapping-rain-water,
218,The Skyline Problem,Hard,https://leetcode.com/problems/the-skyline-problem,
248,Strobogrammatic Number III,Hard,https://leetcode.com/problems/strobogrammatic-number-iii,
296,Best Meeting Point,Hard,https://leetcode.com/problems/best-meeting-point,
774,Minimize Max Distance to Gas Station,Hard,https://leetcode.com/problems/minimize-max-distance-to-gas-station,
425,Word Squares,Hard,https://leetcode.com/problems/word-squares,
